vendor_id,name,canonical_name,onboarding_date,historical_transaction_count,average_invoice_value,tax_id,bank_account,address,contact_email
VEND047,Pioneer27 Services Pvt. Ltd.,pioneer27,2022-01-07,50,1320.64,TX-413118-B,GB63BARC66436579,"829 Business Park, Suite 39, London",billing@pioneer27.com
VEND048,NextGen28 Ventures Corp.,nextgen28ventures,2024-07-08,33,2402.33,TX-611945-A,GB44BARC55700772,"39 Business Park, Suite 25, London",billing@nextgen28ventur.com
VEND049,Horizon29 Group Pvt. Ltd.,horizon29,2022-12-11,90,2573.67,TX-812131-B,GB31BARC98133469,"951 Business Park, Suite 9, London",billing@horizon29.com
VEND050,Global30 Services Pvt. Ltd.,global30,2023-09-30,73,813.17,TX-128276-B,GB85BARC69180794,"37 Business Park, Suite 6, London",billing@global30.com
VEND051,Velocity31 Logistics Corp.,velocity31logistics,2023-10-21,59,10678.42,TX-242291-B,GB33BARC15272743,"398 Business Park, Suite 21, London",billing@velocity31logis.com
VEND052,Apex32 Services Inc.,apex32,2022-08-05,63,4676.74,TX-442722-B,GB58BARC39177363,"268 Business Park, Suite 6, London",billing@apex32.com
VEND053,Sterling33 Ventures LLC,sterling33ventures,2023-04-27,7,8615.28,TX-885408-C,GB16BARC46696038,"675 Business Park, Suite 5, London",billing@sterling33ventu.com
VEND054,Summit34 Industries Inc.,summit34industries,2024-03-10,88,6956.46,TX-142213-A,GB41BARC30904412,"646 Business Park, Suite 10, London",billing@summit34industr.com
VEND055,Global35 Logistics LLC,global35logistics,2022-09-02,21,2933.16,TX-596564-C,GB24BARC69136437,"486 Business Park, Suite 45, London",billing@global35logisti.com
VEND056,Elite36 Logistics Corp.,elite36logistics,2022-09-20,103,7848.31,TX-486814-A,GB87BARC73674524,"806 Business Park, Suite 11, London",billing@elite36logistic.com
VEND057,Sterling37 Systems LLC,sterling37systems,2024-09-14,44,477.97,TX-213349-C,GB13BARC42711083,"703 Business Park, Suite 25, London",billing@sterling37syste.com
VEND058,Pioneer38 Systems Pvt. Ltd.,pioneer38systems,2023-02-11,96,854.4,TX-307963-A,GB85BARC82416190,"258 Business Park, Suite 7, London",billing@pioneer38system.com
VEND059,Pioneer39 Systems Corp.,pioneer39systems,2023-12-15,103,338.85,TX-416232-C,GB86BARC94465725,"825 Business Park, Suite 37, London",billing@pioneer39system.com
VEND060,Global40 Ventures LLC,global40ventures,2024-03-12,10,1380.6,TX-464069-C,GB64BARC79365557,"80 Business Park, Suite 33, London",billing@global40venture.com
VEND061,Integra41 Group LLC,integra41,2023-10-26,48,1676.39,TX-113266-B,GB72BARC21066565,"993 Business Park, Suite 24, London",billing@integra41.com
VEND062,Integra42 Services Inc.,integra42,2023-10-13,119,1149.68,TX-968962-B,GB29BARC55664132,"761 Business Park, Suite 34, London",billing@integra42.com
VEND063,Apex43 Group LLC,apex43,2024-09-15,88,5493.67,TX-383201-C,GB78BARC91227071,"486 Business Park, Suite 28, London",billing@apex43.com
VEND064,Velocity44 Technologies Corp.,velocity44,2024-04-25,98,1523.68,TX-721254-B,GB51BARC99308541,"860 Business Park, Suite 6, London",billing@velocity44.com
VEND065,Summit45 Industries Pvt. Ltd.,summit45industries,2022-10-13,117,1189.41,TX-572700-A,GB69BARC69753088,"694 Business Park, Suite 25, London",billing@summit45industr.com
VEND066,Integra46 Services LLC,integra46,2022-12-11,8,2547.22,TX-618317-B,GB33BARC61123337,"373 Business Park, Suite 17, London",billing@integra46.com
VEND067,NextGen47 Industries LLC,nextgen47industries,2022-12-15,40,655.69,TX-725113-C,GB45BARC68278911,"539 Business Park, Suite 13, London",billing@nextgen47indust.com
VEND068,Horizon48 Industries Inc.,horizon48industries,2022-03-29,35,5061.45,TX-855053-B,GB72BARC68214440,"717 Business Park, Suite 31, London",billing@horizon48indust.com
VEND069,Global49 Ventures Inc.,global49ventures,2023-10-24,96,432.43,TX-614663-B,GB12BARC19757347,"236 Business Park, Suite 26, London",billing@global49venture.com
VEND070,Integra50 Logistics Inc.,integra50logistics,2023-12-10,36,13202.44,TX-421080-C,GB84BARC48694570,"576 Business Park, Suite 34, London",billing@integra50logist.com
VEND071,Sterling51 Services Pvt. Ltd.,sterling51,2022-12-19,59,4638.45,TX-882169-C,GB52BARC46890099,"474 Business Park, Suite 18, London",billing@sterling51.com
VEND072,Elite52 Technologies Corp.,elite52,2022-11-10,37,864.62,TX-341736-A,GB34BARC43087625,"770 Business Park, Suite 35, London",billing@elite52.com
VEND073,Sterling53 Ventures LLC,sterling53ventures,2024-08-31,102,216.61,TX-823688-A,GB34BARC32689571,"293 Business Park, Suite 47, London",billing@sterling53ventu.com
VEND074,NextGen54 Services LLC,nextgen54,2023-08-27,102,5269.69,TX-650121-C,GB46BARC20540934,"313 Business Park, Suite 15, London",billing@nextgen54.com
VEND075,Apex55 Enterprises Inc.,apex55enterprises,2023-01-05,27,3881.29,TX-416950-A,GB78BARC23273145,"56 Business Park, Suite 4, London",billing@apex55enterpris.com
VEND076,Velocity56 Services LLC,velocity56,2023-07-21,42,4116.99,TX-831295-A,GB91BARC88935972,"115 Business Park, Suite 1, London",billing@velocity56.com
VEND077,Pioneer57 Enterprises Inc.,pioneer57enterprises,2023-08-11,41,4625.64,TX-592198-B,GB66BARC45725633,"998 Business Park, Suite 4, London",billing@pioneer57enterp.com
VEND078,Pioneer58 Enterprises Pvt. Ltd.,pioneer58enterprises,2022-09-16,115,430.79,TX-600935-A,GB18BARC52017272,"85 Business Park, Suite 37, London",billing@pioneer58enterp.com
VEND079,Pioneer59 Services Pvt. Ltd.,pioneer59,2023-10-07,92,1531.68,TX-156213-A,GB29BARC95054482,"981 Business Park, Suite 20, London",billing@pioneer59.com
VEND080,Horizon60 Services Inc.,horizon60,2022-03-29,36,569.45,TX-224205-C,GB63BARC73577086,"819 Business Park, Suite 40, London",billing@horizon60.com
VEND081,Velocity61 Ventures Inc.,velocity61ventures,2022-08-20,104,6165.59,TX-647957-B,GB67BARC56422648,"890 Business Park, Suite 38, London",billing@velocity61ventu.com
VEND082,Horizon62 Logistics Inc.,horizon62logistics,2023-03-16,44,3128.9,TX-696251-C,GB17BARC73924422,"980 Business Park, Suite 49, London",billing@horizon62logist.com
VEND083,Pioneer63 Industries Corp.,pioneer63industries,2022-08-01,85,1405.46,TX-321275-B,GB94BARC18513130,"255 Business Park, Suite 12, London",billing@pioneer63indust.com
VEND084,Apex64 Logistics Corp.,apex64logistics,2023-07-20,14,397.0,TX-264136-A,GB62BARC57238798,"618 Business Park, Suite 31, London",billing@apex64logistics.com
VEND085,Horizon65 Enterprises LLC,horizon65enterprises,2022-10-26,9,1317.47,TX-342720-B,GB46BARC83713568,"82 Business Park, Suite 44, London",billing@horizon65enterp.com
VEND086,Summit66 Logistics Pvt. Ltd.,summit66logistics,2022-08-28,38,1379.94,TX-926097-C,GB85BARC79330035,"445 Business Park, Suite 8, London",billing@summit66logisti.com
VEND087,Pioneer67 Services Inc.,pioneer67,2023-07-12,33,4123.63,TX-779094-A,GB44BARC96678528,"83 Business Park, Suite 4, London",billing@pioneer67.com
VEND088,NextGen68 Ventures Inc.,nextgen68ventures,2022-06-19,106,3244.67,TX-422554-C,GB82BARC40263066,"137 Business Park, Suite 30, London",billing@nextgen68ventur.com
VEND089,Elite69 Group Pvt. Ltd.,elite69,2023-12-07,43,6746.76,TX-833723-B,GB44BARC62478379,"515 Business Park, Suite 29, London",billing@elite69.com
VEND090,Horizon70 Services LLC,horizon70,2022-03-24,81,2117.2,TX-141797-B,GB51BARC73303942,"36 Business Park, Suite 6, London",billing@horizon70.com
VEND091,Horizon71 Industries LLC,horizon71industries,2022-08-23,91,582.12,TX-976566-C,GB85BARC12175396,"851 Business Park, Suite 18, London",billing@horizon71indust.com
VEND092,Sterling72 Enterprises LLC,sterling72enterprises,2023-08-14,10,3947.38,TX-900177-A,GB70BARC64417393,"462 Business Park, Suite 18, London",billing@sterling72enter.com
VEND093,NextGen73 Group Corp.,nextgen73,2022-07-05,79,4491.18,TX-557058-C,GB72BARC19567470,"366 Business Park, Suite 27, London",billing@nextgen73.com
VEND094,Horizon74 Ventures Inc.,horizon74ventures,2022-12-08,46,2671.66,TX-802685-A,GB30BARC44582462,"720 Business Park, Suite 32, London",billing@horizon74ventur.com
VEND095,Elite75 Enterprises Inc.,elite75enterprises,2022-10-23,89,4621.67,TX-519904-C,GB14BARC57691921,"332 Business Park, Suite 17, London",billing@elite75enterpri.com
VEND096,Elite76 Enterprises Corp.,elite76enterprises,2022-11-28,19,2242.44,TX-910075-B,GB75BARC96499810,"683 Business Park, Suite 35, London",billing@elite76enterpri.com
VEND097,Integra77 Ventures Pvt. Ltd.,integra77ventures,2023-04-19,57,2419.04,TX-156837-A,GB76BARC47935389,"784 Business Park, Suite 32, London",billing@integra77ventur.com
VEND098,Elite78 Ventures Inc.,elite78ventures,2023-10-03,61,1873.44,TX-896907-A,GB36BARC38002880,"144 Business Park, Suite 19, London",billing@elite78ventures.com
VEND099,NextGen79 Systems Inc.,nextgen79systems,2023-03-25,117,277.24,TX-832168-B,GB25BARC13027190,"633 Business Park, Suite 16, London",billing@nextgen79system.com
VEND100,Summit80 Enterprises Pvt. Ltd.,summit80enterprises,2023-12-28,25,542.5,TX-425845-C,GB11BARC67907762,"105 Business Park, Suite 15, London",billing@summit80enterpr.com
